Trial,PCM,式1の解の中心の総和,式10の解に対するt_L,式10の解に対するt_U,式1の最適値,式10の最適値,式10の最適値とt_Lの積,式10の最適値とt_Uの積,式2の最適値,式20の最適値,式20のt,,,,,式(1)の最適値が式(10)の最適値のt_L倍より小さい,式(1)の最適値が式(10)の最適値のt_L倍より大きい
101,3,0.948412698,0.996031746,1.004,0.341269841,0.342629482,0.341269841,0.344,0.117117072,0.151767032,1.008385745,,,,,FALSE,101
102,1,0.938271605,0.967105263,1.035211268,0.271604938,0.285714286,0.276315789,0.295774648,,,,,,,,102,FALSE
102,2,0.95,0.95,1.055555556,0.3,0.315789474,0.3,0.333333333,,,,,,,,FALSE,102
102,3,1,1,1,0.142857143,0.142857143,0.142857143,0.142857143,0.122751269,0.131578806,1.015267142,,,,,FALSE,102
105,1,0.984126984,1,1,0.253968254,0.253968254,0.253968254,0.253968254,,,,,,,,FALSE,105
105,2,0.928571429,1,1,0.333333333,0.333333333,0.333333333,0.333333333,,,,,,,,FALSE,105
105,3,1,1,1,0.280701754,0.280701754,0.280701754,0.280701754,0.09022535,0.090225447,1,,,,,FALSE,105
106,1,0.916666667,1,1,0.333333333,0.333333333,0.333333333,0.333333333,,,,,,,,FALSE,106
106,2,0.922222222,0.977777778,1.023255814,0.377777778,0.386363636,0.377777778,0.395348837,,,,,,,,FALSE,106
106,3,1,1,1,0.350877193,0.350877193,0.350877193,0.350877193,0.122806871,0.140350734,1,,,,,FALSE,106
107,1,0.958333333,1,1,0.25,0.25,0.25,0.25,,,,,,,,FALSE,107
