Trial,PCM,式1の解の中心の総和,式10の解に対するt_L,式10の解に対するt_U,式1の最適値,式10の最適値,式10の最適値とt_Lの積,式10の最適値とt_Uの積,式2の最適値,式20の最適値,式20のt,,,,,式(1)の最適値が式(10)の最適値のt_L倍より小さい,式(1)の最適値が式(10)の最適値のt_L倍より大きい
135,3,1,1,1,0.264705882,0.264705882,0.264705882,0.264705882,0.649116202,0.725677124,0.993192703,,,,,FALSE,135
137,1,0.914035088,0.993333333,1.006756757,0.38245614,0.416107383,0.413333333,0.418918919,,,,,,,,137,FALSE
137,2,0.979166667,0.979166667,1.02173913,0.291666667,0.29787234,0.291666667,0.304347826,,,,,,,,FALSE,137
137,3,0.989104116,1,1,0.157384988,0.158163265,0.158163265,0.158163265,0.63129889,0.692232449,1.005328693,,,,,137,FALSE
138,1,1,1,1,0.191570881,0.191570881,0.191570881,0.191570881,,,,,,,,FALSE,138
138,2,0.962962963,0.993421053,1.006666667,0.222222222,0.225165563,0.223684211,0.226666667,,,,,,,,138,FALSE
138,3,1,1,1,0.16,0.16,0.16,0.16,0.434738123,0.47957239,0.994924073,,,,,FALSE,138
139,1,0.954022989,0.985294118,1.015151515,0.32183908,0.328358209,0.323529412,0.333333333,,,,,,,,139,FALSE
139,2,1,1,1,0.206349206,0.206349206,0.206349206,0.206349206,,,,,,,,FALSE,139
139,3,1,1,1,0.241758242,0.241758242,0.241758242,0.241758242,0.536692433,0.552646433,0.987534395,,,,,FALSE,139
140,1,0.965,1,1,0.23,0.232258065,0.232258065,0.232258065,,,,,,,,140,FALSE
140,2,1,1,1,0.208955224,0.208955224,0.208955224,0.208955224,,,,,,,,FALSE,140
